Marca,Modelo,Anio,Kilometraje,Ciudad,Precio
Nissan,Versa,2017,146000,Guayaquil,11750
Kia,Stinger,2022,42500,Latacunga,20000
Chevrolet,Spark,2007,262300,Ambato,5600
Chevrolet,Captiva,2023,30000,Quito,24500
Peugeot,Rifter,2020,120000,Guayaquil,20000
Nissan,Tiida Sedan,2013,156600,Guayaquil,8500
Kia,K3000,2006,250000,Quito,9500
Suzuki,Forsa,2014,112000,Manta,14500
Kia,Carnival,2013,132632,Samborondon,15900
Kia,Carens,2003,280000,Quito,6200
Chevrolet,Trailblazer,2013,109000,Guayaquil,32000
Chevrolet,Cruze,2012,65000,Quito,13500
Chevrolet,D-Max,2022,55000,Quito,28000
Chevrolet,Esteem,1997,573000,Guayaquil,4800
Mercedes Benz,Clase C Sedán,2003,175000,Guayaquil,14000
GAC Motor,GS8,2020,47000,Quito,38500
Soueast,DX3,2019,80000,Guayaquil,13500
Changan,CS15,2022,38000,Loja,15400
Nissan,Tiida Sedan,2015,200000,Guayaquil,12500
Great Wall,H5,2014,127411,La Libertad,11000
Ford,Mustang,2018,78000,Guayaquil,67000
Chevrolet,Aveo Family,2009,290000,Huaquillas,8500
Nissan,X-Trail,2015,119000,Quito,18900
Chevrolet,Spark,2008,175000,Guayaquil,6000
Hyundai,Santa Fe,2015,138000,El Empalme,23000
Mazda,2600,2006,150000,Guayaquil,12000
Nissan,Versa,2013,174000,Quito,10000
Soueast,DX3,2022,30000,Salinas,10900
Mazda,CX-3,2019,47000,Quito,20000
FAW,R7,2021,57000,Quito,15500
Kia,Sportage R,2018,98000,Guayaquil,19500
Toyota,Hilux,2015,167000,Quito,22500
Chevrolet,Aveo Family,2015,29895,Guayaquil,12500
Toyota,Yaris,2008,300000,Guayaquil,8000
Dodge,Journey,2018,77000,Ambato,22500
Kia,Sportage R,2019,93000,Quito,24000
Nissan,Qashqai,2020,75000,Ibarra,25500
Hyundai,Tucson,2014,175000,El Empalme,17000
Haval,H6,2023,25150,Machala,33000
Kia,Rio,2007,179000,Guayaquil,8000
BYD,F3,2015,164000,Guayaquil,10000
Peugeot,5008,2019,56000,Guayaquil,34600
Mitsubishi,Canter,2018,40000,Quito,23000
Hyundai,Santa Fe,2013,132000,Quito,23900
Chevrolet,Sail Hatchback,2015,137700,Quito,9300
Chevrolet,Aveo Family,2018,280000,Guayaquil,11000
Chevrolet,Aveo Family,2018,32000,Quito,11600
Mazda,CX-3,2017,78000,Guayaquil,18000
Chevrolet,Grand Vitara,2015,160000,Guayaquil,14500
Peugeot,301,2015,192000,Rumiñahui,10400
Chevrolet,Equinox,2018,112000,Guayaquil,34000
Kia,Sportage R,2019,70000,Guayaquil,20000
Chevrolet,Blazer,2022,22500,Quito,59000
Chevrolet,Cavalier,2019,47900,Quito,15500
Kia,Rio,2015,109000,Ambato,13700
Chevrolet,N300,2019,70000,Guayaquil,15999
Chevrolet,D-Max,2015,255000,La Troncal,25500
Volkswagen,Escarabajo,1981,800000,Ambato,2000
Renault,Logan,2020,92000,Guayaquil,13500
Hyundai,Sonata Híbrido,2019,61895,Guayaquil,20000
Kia,Rio,2014,200000,Quito,11000
Great Wall,H6,2019,92000,Ambato,15500
Suzuki,Super-carry,2016,191263,Guayaquil,16500
Ford,Explorer,2011,223000,Guayaquil,24000
Nissan,Qashqai,2016,104000,Quito,22500
Chevrolet,D-Max,2008,350000,Guayaquil,13000
DFSK,K01,2021,67780,Quito,11000
Chevrolet,Spark GT,2019,65000,Guayaquil,12500
Chevrolet,Cheyenne,2002,260000,Quito,10500
Chevrolet,Cheyenne,1995,290000,Guayaquil,8500
Peugeot,208,2018,120000,Guayaquil,13000
BMW,Serie 3,2021,6500,Guayaquil,53500
Renault,Sandero,2018,81000,Ibarra,11500
Audi,A4 Convertible,2003,226000,Quito,12800
Great Wall,H3,2018,88000,Guayaquil,15000
Chevrolet,Captiva Sport,2015,148000,Guayaquil,13000
BYD,S6,2015,165000,Guayaquil,13900
Suzuki,Forsa,1989,300000,Manta,3200
Great Wall,H6,2018,140000,Rumiñahui,15000
Mazda,CX-5,2018,83000,Quito,25300
Chery,Tiggo 2,2020,63000,Daule,15000
Haval,H6,2020,46000,Quito,22000
Chevrolet,Aveo Emotion,2016,165000,Riobamba,12300
Mazda,BT-50,2010,155000,Quito,15000
Nissan,Tiida Sedan,2015,161036,Guayaquil,9700
Toyota,Hilux,2009,290000,Quito,15500
Toyota,4Runner,2015,60000,Quito,62500
Chevrolet,Grand Vitara,2014,149200,Mira,14400
Toyota,4Runner,1993,435000,Quito,8800
Chevrolet,Grand Vitara,2018,102000,Latacunga,18300
FIAT,Premio,1991,100000,Quito,1500
Chevrolet,Super Carry,2003,58021,Quito,4500
Ford,Focus,2013,129000,Quito,13000
BMW,Serie 5,2010,180700,Guayaquil,21000
Chery,Arrizo 3,2022,7100,Echeandia,10000
Kia,Sportage,2012,94000,Rumiñahui,15000
Nissan,Patrol,1995,720000,Guayaquil,12500
Toyota,Rush,2020,40000,Guayaquil,22000
Chevrolet,Aveo Family,2011,195000,Quito,8400
Nissan,X-Trail,2013,173000,Quito,13800
Hyundai,Santa Fe,2011,253000,La Concordia,12900
Kia,Sportage,2019,73000,Guayaquil,22000
Ford,F150,2015,165000,Quito,32000
Chery,QQ311,2015,253000,Guayaquil,5300
Chevrolet,Optra,2005,360000,Guayaquil,6800
Peugeot,206,2006,183000,Quito,5700
Chevrolet,Trailblazer,2016,27700,Quito,26000
Chevrolet,Onix Sedán,2021,58000,Quito,14500
Kia,Óptima,2014,154000,Guayaquil,13500
Chery,Tiggo,2013,200000,Quito,7500
Hyundai,Sonata,2023,29000,Guayaquil,30000
Toyota,Hilux,1977,500000,Duran,5500
Lada,niva,1980,145000,Guayaquil,4200
Hyundai,Tucson,2011,208000,Guayaquil,14000
Chevrolet,Luv,2002,337000,Guayaquil,11500
Toyota,Hilux,2021,130000,Santo Domingo,45000
Kia,Rio,2018,100000,Guayaquil,14400
Chevrolet,Grand Vitara,2018,88000,Cuenca,18300
Chevrolet,Beat,2022,7800,Guayaquil,14500
Great Wall,H3,2018,115000,Portoviejo,14500
Nissan,Kicks,2018,140000,Guayaquil,18700
Ford,F150,2010,200000,Guayaquil,20000
Chevrolet,San Remo,1989,10000,Daule,2598
Ford,Edge,2013,239400,Guayaquil,17800
Volkswagen,Polo,2017,142768,Guayaquil,14497
Dongfeng,Rich,2022,18000,Quito,22500
Dongfeng,Cityvan,2019,60000,Pasaje,15000
JAC,JS4,2020,19500,Quito,16500
JAC,T6,2019,97000,Penipe,20000
Kia,Sportage GT,2020,60000,Cuenca,26900
Toyota,Prius C,2017,63000,Guayaquil,17000
Chevrolet,Corsa Hatchback,2003,335000,Quito,6500
Nissan,X-Trail,2017,165000,Samborondon,25000
BMW,X5,2002,190000,Portoviejo,13500
Nissan,X-Trail,2015,85000,Quito,21800
Citroën,C4 Picasso,2012,95000,Manta,11500
Nissan,CABINA SIMPLE 2.4,2007,342096,Jipijapa,11900
BMW,X3,2005,159591,Quito,14900
Chevrolet,Captiva,2022,18000,Riobamba,25500
Kia,Sportage R,2019,41000,Quito,23000
Chevrolet,Trooper,1991,865768,Quito,4560
Mazda,CX-3,2021,25000,Quito,29000
Great Wall,H3,2013,203000,Quito,12500
Peugeot,206,2011,113000,Guayaquil,8800
JAC,T6,2019,84500,Guayaquil,16500
Mercedes Benz,Clase C Sedán,2010,110000,Quito,20000
Citroën,C4 Picasso,2019,56000,Guayaquil,12500
Mazda,2600,1997,700000,Santo Domingo,6500
Soueast,DX3,2019,71000,Quito,16500
Hyundai,Santa Fe,2014,58000,Quito,24800
Kia,Sportage,2003,50000,Guayaquil,7500
Mitsubishi,Montero,1997,425000,Guayaquil,9500
Nissan,X-Trail,2009,187000,Quito,12500
Hyundai,Tucson,2023,100,Quito,33500
Jeep,Compass,2014,98000,Quito,17000
Toyota,Hilux,1978,100,La Libertad,4200
Soueast,DX3,2020,111000,Guayaquil,15000
FIAT,Premio,1994,300000,Quito,3300
Hyundai,Sonata Híbrido,2016,99900,Guayaquil,15900
Kia,Sportage,2017,28000,Quito,25000
Soueast,DX7,2022,29800,Guayaquil,31500
Volkswagen,Vento,1994,290000,Guayaquil,3500
Dodge,Journey,2013,199726,Guayaquil,17000
Chevrolet,Optra,2006,325000,Guayaquil,7200
Chevrolet,Captiva,2020,55000,Loja,21900
Chevrolet,Captiva,2021,9500,Quito,24000
Hyundai,Sonata Híbrido,2017,58700,Guayaquil,22500
Great Wall,M4,2018,68000,Quito,12500
Chevrolet,Captiva,2020,55300,Guayaquil,22000
Kia,Sportage,2015,207000,Guayaquil,14000
Chevrolet,Grand Vitara,2009,306046,Guayaquil,9000
Ford,F150,2018,130000,Huaquillas,50000
Ford,Explorer,2007,227000,Salinas,13500
Chevrolet,Aveo Family,2018,75000,Cayambe,10600
JAC,T8,2022,30276,Quito,30000
Ford,Ecosport,2007,230000,Cuenca,9600
Chevrolet,Cruze,2013,137200,Quito,12900
Volkswagen,Tiguan Allspace,2019,55700,Quito,30500
Peugeot,308,2012,127000,Quito,13900
Kia,Picanto,2020,29999,Guayaquil,12900
Nissan,Tiida Sedan,2009,174500,Guayaquil,8500
Chery,Tiggo 5,2015,163000,Manta,14500
Ford,F150,2010,188000,Santo Domingo,19000
Chevrolet,Captiva Sport,2012,110000,Guayaquil,12000
Haval,H6,2021,61000,Quito,30500
Toyota,Land Cruiser Prado,2003,270000,Rumiñahui,16000
Chevrolet,Tracker,2014,185000,Santo Domingo,15800
Nissan,X-Trail,2009,160000,Quito,12500
Chevrolet,Corsa Hatchback,2007,285741,Manta,7600
Skoda,Fabia,2003,360000,Guayaquil,5000
Mazda,BT-50,2014,285000,Esmeraldas,14500
Toyota,Corolla Híbrido,2018,100000,Guayaquil,15000
Kia,Picanto,2020,71680,Guayaquil,12800
Mazda,CX-3,2019,36000,Guayaquil,22500
Mazda,CX-9,2016,165000,Guayaquil,33500
Hyundai,Creta,2019,65000,Cayambe,20900
Chevrolet,Cruze,2017,85000,Quito,18500
BYD,Yuan,2018,100000,Guayaquil,14000
Chevrolet,Grand Vitara,2011,228000,Guayaquil,10800
Mazda,CX-3,2019,50000,Quito,26000
Hyundai,Creta,2019,96000,Guayaquil,19800
Chevrolet,D-Max,2011,190000,Cayambe,11900
Kia,Sportage,2015,102000,Quito,17500
Chevrolet,Grand Vitara,2012,220000,Guayaquil,11500
MG,5,2020,19900,Guayaquil,14600
Chevrolet,Beat,2019,62000,Guayaquil,11500
Hyundai,H1,1996,491200,Santo Domingo,6500
Great Wall,H5,2012,316000,Guayaquil,10000
Skoda,Octavia,2003,220000,Quito,6000
Hyundai,i10 Sedan,2019,188000,Guayaquil,12000
Mazda,CX-9,2009,210000,Guayaquil,19000
Skoda,Felicia,1995,320000,Ambato,5800
Great Wall,Wingle 5,2019,78000,Guayaquil,16200
Jeep,Grand Cherokee,1995,265000,Loja,5500
Chevrolet,Beat,2019,70000,Quito,12500
Ford,F150,2006,218000,Quito,11200
Chevrolet,Chevette,1996,120000,Quito,3500
Chevrolet,Grand Vitara,2015,76000,Guayaquil,17000
Kia,Óptima,2018,95274,Esmeraldas,23750
Chevrolet,Captiva Sport,2013,148500,Guayaquil,14800
Hyundai,Ioniq Híbrido,2022,11000,Cuenca,27000
Nissan,X-Trail,2019,102000,Quito,32000
Chevrolet,Sail Sedán,2015,65000,Quito,10800
Ford,F150,2014,175555,Buena Fe,24500
Ford,Taurus,1996,109199,Guayaquil,7000
Brilliance,V3,2021,25000,Quito,15500
Citroën,C3,2019,55000,Guayaquil,16500
Ford,F150,2018,60000,Guayaquil,53500
Chevrolet,Captiva Sport,2013,105000,Quito,14000
Jeep,Compass,2012,111037,Guayaquil,19000
Mazda,BT-50,2012,141000,Quito,13800
Toyota,Fortuner,2011,138000,Quito,21000
Ford,F150,2014,126000,Samborondon,40000
Chevrolet,Grand Vitara,2015,140000,Latacunga,15200
Ford,F150,2012,308000,Montecristi,17000
Chevrolet,Captiva Sport,2010,190000,Quito,10900
Chevrolet,D-Max,2018,117000,Salcedo,33500
Chevrolet,Captiva Sport,2014,122300,Machala,14000
Renault,Logan,2011,130700,Quito,8900
Hyundai,Tucson,2007,250000,Quito,10900
Ford,Expedition,2010,190000,General Villamil (Playas),31000
Great Wall,H5,2013,152000,Guayaquil,12000
Chevrolet,Silverado,1994,340000,Guayaquil,5200
Great Wall,H5,2012,144699,Guayaquil,12000
Renault,Logan,2016,91000,Quito,11500
Kia,Sorento,2017,82000,Guayaquil,26500
Mazda,2 Sedan,2017,63000,Ibarra,17999
Mazda,2200,2006,211000,Milagro,10500
Nissan,Sentra,2006,20000,Guayaquil,4500
Nissan,Kicks,2019,97000,Guayaquil,23000
Ford,F150,2015,159000,Quito,49900
Nissan,Tiida Sedan,2015,118918,Guayaquil,12000
Chevrolet,Captiva,2021,14000,Quito,24000
Great Wall,M4,2017,97000,Quito,12900
Mazda,CX-5,2017,94325,Guayaquil,24500
Ford,F150,2014,200000,Milagro,28000
Kia,Sportage,2020,59000,Guayaquil,27500
Volkswagen,Jetta,2017,34500,Quito,19500
FIAT,500,2020,21000,Quito,22990
Mazda,BT-50,2010,216000,Cayambe,15500
Kia,Sportage,2006,290000,Quito,10000
Kia,Stylus LSX,2013,200000,Guayaquil,7600
Volkswagen,Golf,1996,136000,Ibarra,5300
Kia,Sportage,2017,88000,Quito,22000
Hyundai,Verna,2021,27000,Guayaquil,15500
Shineray,X30 Pasajeros,2021,40000,Guayaquil,14790
Nissan,Frontier,2009,279713,Quito,13000
Chevrolet,Tracker,2014,99950,Quito,16000
JMC,Landwind,2020,89000,Quito,13500
Ford,Explorer,2004,281501,Guayaquil,10500
Audi,A4,2022,3750,Guayaquil,46000
Kia,Sportage GT,2020,35000,Quito,28500
Peugeot,301,2019,33000,Quito,15200
Kia,Picanto,2021,39650,Quito,12650
Skoda,Octavia,2008,390000,Guayaquil,8550
Chevrolet,Corsa Sedán,2006,186000,Guayaquil,7500
Toyota,Prius C,2013,199000,Guayaquil,12000
Chevrolet,Trailblazer,2019,115000,Manta,43500
Chevrolet,Trailblazer,2018,79251,Quito,42900
Ford,F150,2010,235000,Machala,19500
Chevrolet,Sail Sedán,2019,89000,Guayaquil,12000
JMC,Landwind,2020,44000,Quito,14500
BYD,S6,2017,75000,Quito,20000
Ford,Fusion,2014,82700,Quito,19500
Chery,Tiggo 2,2019,94000,Guaranda,13499
Skoda,Fabia,2018,95000,Guayaquil,12300
Kia,Stylus LSX,2021,7000,Quito,20300
Chevrolet,Cruze,2011,123000,Ambato,11000
Volkswagen,Jetta,2003,184654,Manta,9500
Chevrolet,Spark,2009,143500,Quito,7200
Kia,Sportage,2015,148000,Quito,17000
Nissan,Frontier,2013,117280,Quito,17000
Chevrolet,Luv,1994,3000,Quevedo,8000
Toyota,Rav4,2003,358035,Cuenca,11700
Chevrolet,Grand Vitara,2016,64000,Quito,18000
Toyota,Yaris,2020,47000,Guayaquil,18600
Great Wall,Wingle 5,2015,142000,Quito,15800
Jeep,Grand Cherokee,2014,84600,Quito,34500
Ford,Ranger,1993,350000,Guayaquil,5000
Chevrolet,Sail Sedán,2018,150000,Guayaquil,12500
Volkswagen,Voyage,2014,84000,Quito,13000
Audi,Q3,2022,32000,Samborondon,44000
Kia,Sportage,2015,86000,Quito,18000
Chevrolet,S-Cross,2019,55000,Machala,19500
Kia,Stylus LSX,2013,238000,Guayaquil,8500
Mazda,CX-5,2019,45000,Quito,24500
Chevrolet,Cavalier,2019,65000,Quito,18200
JMC,Landwind,2020,48000,Guayaquil,15500
Chery,Grand Tiggo,2022,16000,Portoviejo,27000
Chevrolet,Sail Sedán,2019,70000,Guayaquil,13000
Volkswagen,Jetta,2011,188000,Quito,11000
Kia,Sportage,2017,106000,Guayaquil,17800
Chery,Tiggo 7,2022,8000,Latacunga,25000
Kia,Sportage,2013,124000,Rumiñahui,15800
Changhe,Minivan,2009,84500,Quito,7300
Kia,Stylus LSX,2013,82000,Quito,10500
Mitsubishi,Montero,2009,530000,La Mana,25000
Kia,Rio,2011,252000,Guayaquil,10500
Chery,Tiggo,2022,16000,Ibarra,23000
Mazda,CX-3,2021,14600,Quito,30900
Toyota,Hilux,2018,43400,Quito,29500
Kia,Sportage,2002,400000,Loja,6500
Chevrolet,Captiva Sport,2020,55000,Machala,22500
Chevrolet,Tracker,2018,77000,Quito,18500
Chevrolet,Grand Vitara,2005,250000,Biblian,10499
JAC,T6,2022,9800,General Antonio Elizalde (Bucay),21000
Jeep,WILLYS,1962,230000,Quito,9000
Renault,Logan,2012,300000,Quito,7500
Ford,F150,2011,170000,Guayaquil,19600
Kia,Sorento,2018,90000,Guayaquil,29000
Chevrolet,Sail Sedán,2018,40400,Guayaquil,14300
Chevrolet,Grand Vitara,2007,206000,San Miguel De Los Bancos,11000
Great Wall,H6,2018,98000,Quito,15600
Chevrolet,Grand Vitara,2013,215194,Guayaquil,12500
Soueast,DX3,2019,76000,Quito,18000
Shineray,X30 Pasajeros,2020,13000,Quito,14500
Haval,H6 Sport,2019,53000,Quito,18000
FIAT,Palio,2006,240100,Manta,6500
Hyundai,Tucson,2011,232280,Guayaquil,15000
Skoda,Superb,2008,394103,Guayaquil,6500
Chevrolet,Grand Vitara,2008,200000,Manta,10400
Hyundai,Tucson,2021,22000,Manta,30800
Toyota,Dyna,1998,115865,Lago Agrio,7800
